key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
# base entity,,,,,,,,,,
sponsorship-00,,,,,,,TRUE,
# ticker - standard variations,,,,,,,,,,
sponsorship-01,,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-02,AA00-DUP123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-03,AA00-DUP123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-04,A00-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-05,AA0-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-06,00-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
sponsorship-07,AA-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2027/01/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,sponsor-01
